"","Made Donation in March 2007"
659,0.461167741122706
276,0.0362446453922263
263,0.299810035697045
303,0.165159672952717
83,0.710656301550857
500,0.75541788811882
530,0.535974727095375
244,0.0397985435413176
249,0.0397985435413176
728,0.0397985435413176
129,0.122470895626978
534,0.260854231236149
317,0.0781642630702352
401,0.299810035697045
696,0.629543434492991
192,0.0397985435413176
176,0.0883669872681394
571,0.3376595301355
139,0.0397985435413176
423,0.151316056722545
563,0.430517037777339
56,0.25731180529753
528,0.748666579529412
101,0.299810035697045
467,0.381199430434485
382,0.0494334009091534
466,0.314409549187832
294,0.0397985435413176
512,0.187369755022883
659,0.461167741122706
389,0.0594507592540715
487,0.0397985435413176
701,0.160245477401207
419,0.0787889446376518
536,0.0409119223372914
240,0.0673538372524838
508,0.241187584578518
515,0.0397985435413176
283,0.50181897727197
650,0.299810035697045
65,0.26490955950411
228,0.0362446453922263
741,0.0397985435413176
297,0.223370619045631
464,0.247283629738326
63,0.160245477401207
231,0.624774165146644
28,0.0397985435413176
248,0.0397985435413176
357,0.190608074058037
300,0.731025599109318
726,0.387475842925521
680,0.0877023083543644
520,0.522860974079962
254,0.0397985435413176
582,0.341344918914197
143,0.177439684583502
98,0.86382570411824
1,0.0319692691343587
221,0.393068774590959
352,0.299810035697045
64,0.0495618362981411
138,0.110906804846939
745,0.429977821779476
64,0.0495618362981411
688,0.0409119223372914
623,0.0397985435413176
289,0.0362446453922263
174,0.223370619045631
690,0.299810035697045
105,0.104796702617257
427,0.0362446453922263
48,0.0397985435413176
14,0.299810035697045
657,0.0397985435413176
301,0.308364097527566
455,0.0397985435413176
579,0.0439500045013638
722,0.0362446453922263
98,0.86382570411824
491,0.0397985435413176
303,0.165159672952717
466,0.314409549187832
65,0.26490955950411
300,0.731025599109318
9,0.0397985435413176
622,0.0397985435413176
323,0.0397985435413176
289,0.0362446453922263
568,0.0883669872681394
290,0.299810035697045
156,0.244303003267088
464,0.247283629738326
426,0.0397985435413176
306,0.0362446453922263
4,0.165159672952717
12,0.582894357375872
187,0.29911123746795
406,0.0397985435413176
96,0.535974727095375
509,0.160245477401207
733,0.0362446453922263
548,0.0397985435413176
478,0.0888307371295587
501,0.120797676819876
127,0.81502206125648
199,0.0397985435413176
299,0.308571038153055
162,0.299810035697045
235,0.0574866121540768
23,0.25033703246187
473,0.299810035697045
487,0.0397985435413176
683,0.428649141489831
303,0.165159672952717
309,0.0397985435413176
569,0.0397985435413176
34,0.408141645506326
686,0.664379131056084
84,0.118735551079475
733,0.0362446453922263
537,0.664569048763283
181,0.120797676819876
453,0.592664500406251
67,0.274692300420136
161,0.30198194600956
307,0.0785017530868833
703,0.0901643425336061
181,0.120797676819876
246,0.15109629046595
316,0.274692300420136
278,0.0397985435413176
346,0.261547460323423
545,0.299810035697045
419,0.0787889446376518
694,0.535974727095375
622,0.0397985435413176
663,0.0397985435413176
262,0.75541788811882
461,0.0362446453922263
373,0.591931381521855
233,0.299810035697045
466,0.314409549187832
207,0.177439684583502
263,0.299810035697045
16,0.0397985435413176
513,0.0397985435413176
449,0.629543434492991
429,0.0397985435413176
701,0.160245477401207
632,0.0397985435413176
529,0.75541788811882
245,0.0883669872681394
344,0.0362446453922263
353,0.0362446453922263
241,0.165899106120797
633,0.0397985435413176
624,0.160245477401207
726,0.387475842925521
189,0.0397985435413176
138,0.110906804846939
402,0.0397985435413176
511,0.748666579529412
590,0.412192917304135
334,0.124483587904596
447,0.0409119223372914
119,0.314409549187832
389,0.0594507592540715
644,0.299810035697045
423,0.151316056722545
131,0.0397985435413176
405,0.0397985435413176
82,0.299810035697045
643,0.658300646437192
156,0.244303003267088
617,0.0397985435413176
574,0.870229549726435
272,0.0359855030102137
613,0.0397985435413176
545,0.299810035697045
685,0.0397985435413176
570,0.0901643425336061
537,0.664569048763283
691,0.0397985435413176
85,0.352344400811854
483,0.15109629046595
455,0.0397985435413176
93,0.0397985435413176
744,0.160245477401207
33,0.15109629046595
321,0.628151503648822
523,0.0442638681315793
426,0.0397985435413176
196,0.0409119223372914
301,0.308364097527566
103,0.0397985435413176
224,0.0397985435413176
454,0.0397985435413176
585,0.0397985435413176
154,0.406056618656618
